type,name,edge
pp_Camera,Рубеж 008114-02_R0 Обработчик ул. Караганда (Возле Чулочно-носочная фабрика г.Темиртау),Temirtau
pp_Camera,"Рубеж 008115-01_R0 Обработчик ул. Сарыарка (Возле кладбища ""Феникс"")",Temirtau
pp_Camera,"Рубеж 008115-02_R0 Обработчик ул. Сарыарка (Возле кладбища ""Феникс"")",Temirtau
pp_Camera,Рубеж 008123-01_R0 Обработчик ул. Луговая (Возле остановки Кулинария),Temirtau
pp_Camera,Рубеж 008123-02_R0 Обработчик ул. Луговая (Возле остановки Кулинария),Temirtau
pp_Camera,Рубеж 008127-01_R0 Обработчик ул. Аманжолова (Выезд с мкр. 8),Temirtau
pp_Camera,"Скоростемер 008057-04_S мкр. 7 (Возле кафе ""Бейбуд"")",Temirtau
pp_Camera,Скоростемер 008107-03_S пр. Республики - ул. Сарыарка перекресток,Temirtau
pp_Camera,Скоростемер 008112-03_S пр. Металлургов (Возле Никольского собора),Temirtau
pp_Camera,"Скоростемер 008116-01_S пр. Республики (Остановка Парк отдыха ""Восток"")",Temirtau
pp_Camera,Скоростемер 008117-01_S пр. Республики - бул. Независимости перекресток,Temirtau
pp_Camera,"Скоростемер 008176-01_S мкр. 7, 58",Temirtau
pp_Camera,"Скоростемер 008176-02_S мкр. 7, 58",Temirtau
pp_Camera,"Скоростемер 008178-01_S пр. Момышулы, 54а",Temirtau
pp_Camera,"Скоростемер 008179-01_S мкр. 6, 5",Temirtau
pp_Camera,"Скоростемер 008180-01_S пр. Республики, 103",Temirtau
pp_Camera,"Скоростемер 008181-01_S пр. Республики, 53",Temirtau
pp_Camera,"Скоростемер 008181-02_S пр. Республики, 53",Temirtau
pp_Camera,"Скоростемер 008182-01_S пр. Металлургов, 30",Temirtau
pp_Camera,"Скоростемер 008182-02_S пр. Металлургов, 30",Temirtau
pp_Camera,"Скоростемер 008183-01_S пр. Республики, 6 (4а квартал)",Temirtau
pp_Camera,"Скоростемер 008184-01_S ул. Абая, 49",Temirtau
pp_Camera,"Скоростемер 008185-01_S пр. Республики, 28",Temirtau
pp_Camera,"Скоростемер 008186-01_S пр. Республики, 35",Temirtau
pp_Camera,"Скоростемер 008187-01_S ул. Амангельды, 49А (СШ №10)",Temirtau
pp_Camera,"Скоростемер 008188-01_S пр. Металлургов, 12",Temirtau
pp_Camera,"Скоростемер 008189-01_S ул. Амангельды, 130",Temirtau
pp_Camera,"Скоростемер 008190-01_S ул. Абая, 35",Temirtau
pp_Camera,"Скоростемер 008191-01_S пр. Металлургов, 13",Temirtau
pp_Camera,"Скоростемер 008192-01_S пр. Мира, 116а",Temirtau
pp_Camera,"Скоростемер 008206-01_S пр. Мира, 145 (в районе магазин ""Адмирал"")",Temirtau
pp_Camera,"Скоростемер 008210-01_S пр. Республики, 130 (возле КарГрэс, в обоих направлениях)",Temirtau
pp_Camera,"Скоростемер 008210-02_S пр. Республики, 130 (возле КарГрэс, в обоих направлениях)",Temirtau
pp_Camera,"Скоростемер 008217-01_S ул. Мичурина, 3А (возле стр. 17)",Temirtau
pp_Camera,"Скоростемер 008218-01_S ул. Мичурина, 8А (возле УП г. Темиртау)",Temirtau
pp_Camera,"Скоростемер 008221-01_S ул. Абая, 58 (дорога)",Temirtau
pp_Camera,"Статика 008001-01 пр. Республики, 67а (Школа-лицей №14)",Temirtau
pp_Camera,"Статика 008001-02 пр. Республики, 67а (Школа-лицей №14)",Temirtau
pp_Camera,"Статика 008002-01 ул. Колхозная, 10а (ОШ №3)",Temirtau
pp_Camera,"Статика 008002-02 ул. Колхозная, 10а (ОШ №3)",Temirtau
pp_Camera,"Статика 008004-01 мкр. 2, 5/2 (Женская гимназия)",Temirtau
pp_Camera,"Статика 008004-02 мкр. 2, 5/2 (Женская гимназия)",Temirtau
pp_Camera,"Статика 008005-01 мкр. 3а, 7/1 (Гимназия №1)",Temirtau
pp_Camera,"Статика 008005-02 мкр. 3а, 7/1 (Гимназия №1)",Temirtau
pp_Camera,"Статика 008006-01 мкр. 4, 17/1 (ОШ №19)",Temirtau
pp_Camera,"Статика 008006-02 мкр. 4, 17/1 (ОШ №19)",Temirtau
pp_Camera,"Статика 008007-01 мкр. 6, 49а (ОШ №10)",Temirtau
pp_Camera,"Статика 008007-02 мкр. 6, 49а (ОШ №10)",Temirtau
pp_Camera,"Статика 008008-01 пр. Мира, 75 (ОШ №8)",Temirtau
pp_Camera,"Статика 008008-02 пр. Мира, 75 (ОШ №8)",Temirtau
pp_Camera,"Статика 008009-01 мкр. 8, 98а (ОШ №17)",Temirtau
pp_Camera,"Статика 008009-02 мкр. 8, 98а (ОШ №17)",Temirtau
pp_Camera,"Статика 008010-01 пр. Момышулы, 91 (Гимназия им. Алихана Бокейханова)",Temirtau
pp_Camera,"Статика 008010-02 пр. Момышулы, 91 (Гимназия им. Алихана Бокейханова)",Temirtau
pp_Camera,"Статика 008011-01 пр. Металлургов, 24/5 (ОШ №24)",Temirtau
pp_Camera,"Статика 008011-02 пр. Металлургов, 24/5 (ОШ №24)",Temirtau
pp_Camera,"Статика 008012-01 пр. Металлургов, 65 (Прокуратура г. Темиртау)",Temirtau
pp_Camera,"Статика 008012-02 пр. Металлургов, 65 (Прокуратура г. Темиртау)",Temirtau
pp_Camera,"Статика 008013-01 пр. Мира, 62 (ОШ №23)",Temirtau
pp_Camera,"Статика 008013-02 пр. Мира, 62 (ОШ №23)",Temirtau
pp_Camera,"Статика 008014-01 мкр. 7, 22/1 (ОШ №27)",Temirtau
pp_Camera,"Статика 008014-02 мкр. 7, 22/1 (ОШ №27)",Temirtau
pp_Camera,"Статика 008015-01 пр. Республики (Остановка ""Гребная база"")",Temirtau
pp_Camera,"Статика 008015-02 пр. Республики (Остановка ""Гребная база"")",Temirtau
pp_Camera,"Статика 008016-01 пр. Республики, 21/1 (ОШ №11)",Temirtau
pp_Camera,"Статика 008016-02 пр. Республики, 21/1 (ОШ №11)",Temirtau
pp_Camera,"Статика 008017-01 пр. Республики, 73 (Лицей №9)",Temirtau
pp_Camera,"Статика 008017-02 пр. Республики, 73 (Лицей №9)",Temirtau
pp_Camera,"Статика 008018-01 пр. Строителей, 27/1 (ОШ им. Габидена Мустафина)",Temirtau
pp_Camera,"Статика 008018-02 пр. Строителей, 27/1 (ОШ им. Габидена Мустафина)",Temirtau
pp_Camera,"Статика 008019-01 ул. Амангельды, 7б (ОШ №6)",Temirtau
pp_Camera,"Статика 008019-02 ул. Амангельды, 7б (ОШ №6)",Temirtau
pp_Camera,"Статика 008020-01 ул. Блюхера, 3 (ОШ №31)",Temirtau
pp_Camera,"Статика 008020-02 ул. Блюхера, 3 (ОШ №31)",Temirtau
pp_Camera,"Статика 008021-01 ул. Абая, 34/1 (ОШ №21)",Temirtau
pp_Camera,"Статика 008021-02 ул. Абая, 34/1 (ОШ №21)",Temirtau
pp_Camera,"Статика 008022-01 ул. Абая, 58/2 (Школа-лицей №20)",Temirtau
pp_Camera,"Статика 008022-02 ул. Абая, 58/2 (Школа-лицей №20)",Temirtau
pp_Camera,"Статика 008024-01 ул. Карьерная, 1 (ОШ №1)",Temirtau
pp_Camera,"Статика 008024-02 ул. Карьерная, 1 (ОШ №1)",Temirtau
pp_Camera,"Статика 008025-01 кв. 71, 3 (Темиртауский профессионально-технический колледж)",Temirtau
pp_Camera,"Статика 008025-02 кв. 71, 3 (Темиртауский профессионально-технический колледж)",Temirtau
pp_Camera,"Статика 008025-03 кв. 71, ст. 5 (Темиртауский технический колледж)",Temirtau
pp_Camera,"Статика 008025-04 кв. 71, ст. 5 (Темиртауский технический колледж)",Temirtau
pp_Camera,"Статика 008026-01 ул. Победы, 17 (Первый Темиртауский классический лицей)",Temirtau
pp_Camera,"Статика 008026-02 ул. Победы, 17 (Первый Темиртауский классический лицей)",Temirtau
pp_Camera,"Статика 008027-01 ул. Северная, 36 (ОШ №7)",Temirtau
pp_Camera,"Статика 008027-02 ул. Северная, 36 (ОШ №7)",Temirtau
pp_Camera,"Статика 008028-01 ул. Чернышевского, 106/1 (ОШ №4)",Temirtau
pp_Camera,"Статика 008028-02 ул. Чернышевского, 106/1 (ОШ №4)",Temirtau
pp_Camera,"Статика 008029-01 ул. Химиков, 63 (ОШ №22)",Temirtau
pp_Camera,"Статика 008029-02 ул. Химиков, 63 (ОШ №22)",Temirtau
pp_Camera,"Статика 008031-01 ул. Темиртауская, 1 (ОШ №16)",Temirtau
pp_Camera,"Статика 008031-02 ул. Темиртауская, 1 (ОШ №16)",Temirtau
pp_Camera,"Статика 008032-01 ул. Абая, 39/2 (ОШ №2)",Temirtau
pp_Camera,"Статика 008032-02 ул. Абая, 39/2 (ОШ №2)",Temirtau
pp_Camera,"Статика 008033-01 мкр. 6, 24/1",Temirtau
pp_Camera,"Статика 008033-02 мкр. 6, 24/1",Temirtau
pp_Camera,"Статика 008035-01 пр. Металлургов, 28/4 (Темиртауский городской историко-краеведческий музей)",Temirtau
pp_Camera,"Статика 008035-02 пр. Металлургов, 28/4 (Темиртауский городской историко-краеведческий музей)",Temirtau
pp_Camera,"Статика 008036-01 пр. Металлургов (Возле кафе ""Городок"")",Temirtau
pp_Camera,"Статика 008036-02 пр. Металлургов (Возле кафе ""Городок"")",Temirtau
pp_Camera,"Статика 008037-01 пр. Металлургов, 27а (Кафе ""Акбарс"")",Temirtau
pp_Camera,"Статика 008037-02 пр. Металлургов, 27а (Кафе ""Акбарс"")",Temirtau
pp_Camera,"Статика 008038-01 пр. Металлургов (Возле кафе ""Афган"")",Temirtau
pp_Camera,"Статика 008038-02 пр. Металлургов (Возле кафе ""Афган"")",Temirtau
pp_Camera,"Статика 008040-01 пр. Мира (Остановка ""Магазин Военторг"")",Temirtau
pp_Camera,"Статика 008040-02 пр. Мира (Остановка ""Магазин Военторг"")",Temirtau
pp_Camera,"Статика 008041-01 пр. Мира, 94 (ТЦ ""Одежда"")",Temirtau
pp_Camera,"Статика 008041-02 пр. Мира, 94 (ТЦ ""Одежда"")",Temirtau
pp_Camera,"Статика 008042-01 пр. Республики, 28 (Ледовый дворец спорта)",Temirtau
pp_Camera,"Статика 008042-02 пр. Республики, 28 (Ледовый дворец спорта)",Temirtau
pp_Camera,"Статика 008043-01 пр. Республики (Возле кафе ""Авалон"")",Temirtau
pp_Camera,"Статика 008043-02 пр. Республики (Возле кафе ""Авалон"")",Temirtau
pp_Camera,"Статика 008044-01 ул. Чайковского, ст. 22 (Центральная больница г. Темиртау)",Temirtau
pp_Camera,"Статика 008044-02 ул. Чайковского, ст. 22 (Центральная больница г. Темиртау)",Temirtau
pp_Camera,"Статика 008045-01 ул. Абая (Возле АЗС ""Star oil"")",Temirtau
pp_Camera,"Статика 008045-02 ул. Абая (Возле АЗС ""Star oil"")",Temirtau
pp_Camera,"Статика 008046-01 ул. Абая, 27а (Кафе ""Миллениум"")",Temirtau
pp_Camera,"Статика 008046-02 ул. Абая, 27а (Кафе ""Миллениум"")",Temirtau
pp_Camera,"Статика 008047-01 ул. Абая (Возле ресторан ""Арарат"")",Temirtau
pp_Camera,"Статика 008047-02 ул. Абая (Возле ресторан ""Арарат"")",Temirtau
pp_Camera,"Статика 008048-01 ул. Абая, 66 (Магазин ""Бастау"")",Temirtau
pp_Camera,"Статика 008048-02 ул. Абая, 66 (Магазин ""Бастау"")",Temirtau
pp_Camera,"Статика 008049-01 ул. Абая (Возле кафе ""Фараон"")",Temirtau
pp_Camera,"Статика 008049-02 ул. Абая (Возле кафе ""Фараон"")",Temirtau
pp_Camera,"Статика 008050-01 ул. Сейфуллина, 50 (ТЦ ""Восток"")",Temirtau
pp_Camera,"Статика 008050-02 ул. Сейфуллина, 50 (ТЦ ""Восток"")",Temirtau
pp_Camera,"Статика 008051-01 ул. Чернышевского, 116 (Кафе ""Березка"")",Temirtau
pp_Camera,"Статика 008051-02 ул. Чернышевского, 116 (Кафе ""Березка"")",Temirtau
pp_Camera,"Статика 008053-01 мкр. 8, 131/1 (Магазин ""Караван"")",Temirtau
pp_Camera,"Статика 008053-02 мкр. 8, 131/1 (Магазин ""Караван"")",Temirtau
pp_Camera,"Статика 008054-01 пр. Металлургов (Остановка ""Радуга"")",Temirtau
pp_Camera,"Статика 008054-02 пр. Металлургов (Остановка ""Радуга"")",Temirtau
pp_Camera,"Статика 008054-03 пр. Металлургов, 13",Temirtau
pp_Camera,"Статика 008054-04 пр. Металлургов, 13",Temirtau
pp_Camera,"Статика 008055-01 мкр. 4, 51/4 (Кафе ""Домино"")",Temirtau
pp_Camera,"Статика 008055-02 мкр. 4, 51/4 (Кафе ""Домино"")",Temirtau
pp_Camera,"Статика 008056-01 пр. Мира (Остановка ""5-7 микрорайон"")",Temirtau
pp_Camera,"Статика 008056-02 пр. Мира (Остановка ""5-7 микрорайон"")",Temirtau
pp_Camera,"Статика 008056-03 пр. Мира (Остановка ""5-7 микрорайон"")",Temirtau
pp_Camera,"Статика 008056-04 пр. Мира (Остановка ""5-7 микрорайон"")",Temirtau
pp_Camera,"Статика 008057-01 мкр. 7 (Возле кафе ""Бейбуд"")",Temirtau
pp_Camera,"Статика 008057-02 мкр. 7 (Возле кафе ""Бейбуд"")",Temirtau
pp_Camera,"Статика 008057-03 мкр. 7 (Возле кафе ""Бейбуд"")",Temirtau
pp_Camera,"Статика 008057-05 мкр. 7 (Возле кафе ""Бейбуд"")",Temirtau
pp_Camera,"Статика 008058-01 мкр. 7, 56 (Магазин ""Экран"")",Temirtau
pp_Camera,"Статика 008058-02 мкр. 7, 56 (Магазин ""Экран"")",Temirtau
pp_Camera,"Статика 008059-01 бул. Независимости, 8/1 (Кафе ""Ардана"")",Temirtau
pp_Camera,"Статика 008059-02 бул. Независимости, 8/1 (Кафе ""Ардана"")",Temirtau
pp_Camera,"Статика 008060-01 пр. Момышулы, 24 (Ресторан ""Меруерт"")",Temirtau
pp_Camera,"Статика 008060-02 пр. Момышулы, 24 (Ресторан ""Меруерт"")",Temirtau
pp_Camera,Статика 008063-01 пр. Республики - ул. Валиханова перекресток,Temirtau
pp_Camera,Статика 008063-02 пр. Республики - ул. Валиханова перекресток,Temirtau
pp_Camera,"Статика 008064-01 пр. Республики, 128/1 (Автовокзал)",Temirtau
pp_Camera,"Статика 008064-02 пр. Республики, 128/1 (Автовокзал)",Temirtau
pp_Camera,"Статика 008064-03 пр. Республики, 128/1 (Автовокзал)",Temirtau
pp_Camera,"Статика 008064-04 пр. Республики, 128/1 (Автовокзал)",Temirtau
pp_Camera,"Статика 008066-01 бул. Независимости, 25 (ТЦ ""Аян Пассаж"")",Temirtau
pp_Camera,"Статика 008066-02 бул. Независимости, 25 (ТЦ ""Аян Пассаж"")",Temirtau
pp_Camera,Статика 008067-01 пр. Республики (Возле городского парк культуры и отдыха г. Темиртау),Temirtau
pp_Camera,Статика 008067-02 пр. Республики (Возле городского парк культуры и отдыха г. Темиртау),Temirtau
pp_Camera,Статика 008067-03 пр. Республики (Возле городского парк культуры и отдыха г. Темиртау),Temirtau
pp_Camera,"Статика 008070-03 пр. Республики, 20 (Деловой центр ""Экспресс"")",Temirtau
pp_Camera,Статика 008071-01 ул. Абая - ул. Чернышевского перекресток,Temirtau
pp_Camera,Статика 008071-02 ул. Абая - ул. Чернышевского перекресток,Temirtau
pp_Camera,"Статика 008072-01 ул. Абая, 70а (ТЦ ""ЕсДаулет"")",Temirtau
pp_Camera,"Статика 008072-02 ул. Абая, 70а (ТЦ ""ЕсДаулет"")",Temirtau
pp_Camera,Статика 008072-06 пр. Металлургов (Аллея возле пр. Металлургов - ул. Абая перекресток),Temirtau
pp_Camera,Статика 008072-07 пр. Металлургов (Аллея возле пр. Металлургов - ул. Абая перекресток),Temirtau
pp_Camera,Статика 008073-01 пр. Металлургов (Ротонда),Temirtau
pp_Camera,Статика 008073-02 пр. Металлургов (Ротонда),Temirtau
pp_Camera,"Статика 008074-01 пр. Момышулы, 56/4 (ТД ""Шик"")",Temirtau
pp_Camera,"Статика 008074-02 пр. Момышулы, 56/4 (ТД ""Шик"")",Temirtau
pp_Camera,"Статика 008075-01 пр. Республики, 36 (Темиртауский городской суд)",Temirtau
pp_Camera,"Статика 008075-02 пр. Республики, 36 (Темиртауский городской суд)",Temirtau
pp_Camera,"Статика 008075-03 пр. Республики, 36 (Темиртауский городской суд)",Temirtau
pp_Camera,"Статика 008075-04 пр. Республики, 36 (Темиртауский городской суд)",Temirtau
pp_Camera,Статика 008076-01 ул. Караганда - ул. Ушинского перекресток,Temirtau
pp_Camera,Статика 008076-02 ул. Караганда - ул. Ушинского перекресток,Temirtau
pp_Camera,"Статика 008077-01 ул. Панфилова, 30/1 (Кафе ""Весна"")",Temirtau
pp_Camera,"Статика 008077-02 ул. Панфилова, 30/1 (Кафе ""Весна"")",Temirtau
pp_Camera,"Статика 008077-03 ул. Панфилова, 30/1 (Кафе ""Весна"")",Temirtau
pp_Camera,Статика 008080-01 пр. Республики - пр. Момышулы перекресток,Temirtau
pp_Camera,Статика 008080-02 пр. Республики - пр. Момышулы перекресток,Temirtau
pp_Camera,"Статика 008080-06 пр. Республики, 45 (Кинотеатр ""Комсомольский"")",Temirtau
